id	turn1	turn2	turn3	label
4078	Naaa like you	Someone like me ???	Yes	others
16699	i can finish work within Saturday night	yeah how you now	not good	sad
2313	I find misinterpreted questions frustrating	Why don't you just ignore? Or is it too difficult to ignore?	It's too difficult to ignore	angry
25754	Meaning?	i don't belong here.	Nice meeting you	others
26222	EXAMS??	And my last exam today ^_^ Thank You..!	I hate exams	angry
1495	Ahh	btw, have you discarded the number you gave me?	Just go to hell	angry
14055	Not fine	why..	Y u asking	sad
4993	What do you think about me	in person?	Yeah	others
22370	Than you	How do you know?	You are ugly	angry
5674	Hate u for this	But I don't	Still I say the same	angry
26111	Because ur irritating	that's you !!!!	U don't words only	angry
12025	I am talking with u 😆	lol who's that?	cool	others
3703	thanks	your welcome n you'll do wonders 😄	now say love you too	others
11092	Ohh look	Where is	Will u be mah girlfriend	others
13068	Which game	The game of thrones, of course.	I love that game 💙💙😍😍😘	happy
27451	I am so happy now	Good.	I brought my friend and sister Aishwarya out of depression	happy
18161	Very good.	Excellent!!! Always a good thing to get messages.	O.k. thank you good night.and have sound sleep and sweet dreams.	others
5001	I liked one girl	The first and third are best.	😩😩	sad
19970	dumbo	Correct	i love my girlfriend and i am missing her but cant talk her coz she is far away	sad
20753	But this is bad..	Uh.... Can you explain?	Selfishes are bad for relationship, society and for the hole world.	sad
8034	Will go with me on date	okay I will where u wanna go	India	others
15033	call me stupid	what friends	Idiot	angry
20637	Huhhhh	What?	I don't wanna talk	angry
26103	So, its not that u forgot me huh	i dont know....	That was rude	angry
23021	After talking for 2 or 3 days.. Then only v can b good frds.. Coz v can know about each other na	We talk more now and we've gotten to know each other pretty well.	Whats ur name	others
4034	But what do you identify yourself, girl or boy?	Person.	Good answer	others
22427	Do you wish to be human ?	Depends on what part of me would be animal.	What part you want ?	others
2021	What did we have?	Everything. It was a buffet.	Are you an AI?	others
2996	How can I stop talking to myself	You're in a delicate position, just be honest and faithful to your partner.	You stupid bot	angry
20235	which language is it	Programming languages. Human language is a very weak form of communication.	hey  good joke ....you also seeing jabardasth ah	happy
